Event;Timestamp;RightControllerPosWorldX;RightControllerPosWorldZ
Sample;2021-06-28 13:50:30.0660;0.0451;0.2891
Sample;2021-06-28 13:50:30.0989;0.0443;0.2892
Sample;2021-06-28 13:50:30.1139;0.0435;0.2894
Sample;2021-06-28 13:50:30.1249;0.0435;0.2892
Sample;2021-06-28 13:50:30.1418;0.0432;0.2893
Sample;2021-06-28 13:50:30.1528;0.0430;0.2892
Sample;2021-06-28 13:50:30.1727;0.0430;0.2893
Sample;2021-06-28 13:50:30.1897;0.0433;0.2892
Sample;2021-06-28 13:50:30.2037;0.0435;0.2891
Sample;2021-06-28 13:50:30.2236;0.0444;0.2890
Sample;2021-06-28 13:50:30.2366;0.0448;0.2894
Sample;2021-06-28 13:50:30.2560;0.0456;0.2897
Sample;2021-06-28 13:50:30.2680;0.0461;0.2900
Sample;2021-06-28 13:50:30.2800;0.0466;0.2905
Sample;2021-06-28 13:50:30.2999;0.0473;0.2910
Sample;2021-06-28 13:50:30.3129;0.0476;0.2912
Sample;2021-06-28 13:50:30.3249;0.0481;0.2911
Sample;2021-06-28 13:50:30.3458;0.0485;0.2915
Sample;2021-06-28 13:50:30.3588;0.0484;0.2916
Sample;2021-06-28 13:50:30.3697;0.0482;0.2915
Sample;2021-06-28 13:50:30.3947;0.0480;0.2915
Sample;2021-06-28 13:50:30.4076;0.0479;0.2914
Sample;2021-06-28 13:50:30.4194;0.0475;0.2911
Sample;2021-06-28 13:50:30.4324;0.0473;0.2911
Sample;2021-06-28 13:50:30.4413;0.0473;0.2914
Sample;2021-06-28 13:50:30.4563;0.0472;0.2913
Sample;2021-06-28 13:50:30.4693;0.0471;0.2912
Sample;2021-06-28 13:50:30.4812;0.0470;0.2912
Sample;2021-06-28 13:50:30.4942;0.0471;0.2911
Sample;2021-06-28 13:50:30.5102;0.0475;0.2909
Sample;2021-06-28 13:50:30.5221;0.0476;0.2908
Sample;2021-06-28 13:50:30.5341;0.0478;0.2907
Sample;2021-06-28 13:50:30.5461;0.0479;0.2906
Sample;2021-06-28 13:50:30.5560;0.0479;0.2906
Sample;2021-06-28 13:50:30.5680;0.0479;0.2905
